respondent,UCLA_index,Q8_disability,NeighborIndex,DiversityDiscussImportant,DiversitySupportive,Q22_marital_satn,Q46_attend_religious,Q39_caregiver,Q30_supportive_num,Q64_yrs_current_residence,Q65_relocate,ethnic,gender,household_size,income,employ,age_group,Q2_health_overall,Q27_11_parents_inperson,Q27_12_parents_email,Q27_13_parents_phone,Q27_14_parents_letters,Q27_15_parents_text,Q27_16_parents_online,Q27_17_parents_SN,Q27_21_child_inperson,Q27_22_child_email,Q27_23_child_phone,Q27_24_child_letters,Q27_25_child_text,Q27_26_child_online,Q27_27_child_SN,Q27_31_sibling_inperson,Q27_32_sibling_email,Q27_33_sibling_phone,Q27_34_sibling_letters,Q27_35_sibling_text,Q27_36_sibling_online,Q27_37_sibling_SN,Q27_41_friend_inperson,Q27_42_friend_email,Q27_43_friend_phone,Q27_44_friend_letters,Q27_45_friend_text,Q27_46_friend_online,Q27_47_friend_SN,Q28_discuss_important_matters_num,passaway_index,moveaway_index,Q38_more_less_friends,Q48_volunteer,Q50_groups,Q53_hobbies,Q77_hrs_alone,Q89_1_internet_sentiment,Q89_2_internet_sentiment,Q89_3_internet_sentiment,Q89_4_internet_sentiment,Q89_5_internet_sentiment,Q89_6_internet_sentiment,Q89_7_internet_sentiment,Q89_8_internet_sentiment,Q89_9_internet_sentiment,Q89_10_internet_sentiment,internet_sentiment_index,Q90_tradeoffs_family,Q91_tradeoffs_intimate_convo
13,60,0,0.510618135,1,1,3,1,1,1,5,0,2,1,2,15,1,7,3,5,1,5,1,1,1,1,4,4,4,3,3,4,4,3,3,4,2,1,1,1,4,3,3,2,2,1,3,1,2,0,1,1,2,2,3,4,3,2,4,4,4,3,3,3,3,33,2,1
14,20,1,-3.827981392,2,3,0,1,0,20,4,0,5,1,3,6,5,6,2,,,,,,,,,,,,,,,5,1,5,1,4,1,1,3,2,3,1,3,1,5,4,2,1,1,0,1,1,3,5,1,1,1,5,1,5,3,5,1,28,2,2
15,40,0,0.728609598,3,3,0,6,0,1,5,0,2,2,2,12,1,6,4,,,,,,,,2,3,3,1,3,1,3,3,3,3,1,3,1,1,5,4,4,1,4,3,3,2,1,0,2,1,1,3,1,4,2,2,4,2,4,2,5,2,4,31,2,2
16,63,1,-0.990294023,2,2,0,1,0,2,1,3,1,1,6,13,5,6,1,,,,,,,,3,4,1,1,4,1,4,2,3,3,4,4,4,4,1,1,1,1,1,1,5,2,0,0,1,0,1,3,2,4,4,3,5,2,5,4,4,4,4,39,2,2
17,33,0,-2.273214717,3,3,5,2,0,5,5,0,1,2,2,12,5,8,4,,,,,,,,5,,5,1,5,1,1,,,,,,,,5,4,4,1,5,1,5,4,0,0,2,1,3,3,1,3,3,2,4,4,4,4,3,3,5,35,2,1
18,30,0,-2.273214717,1,1,5,1,0,1,4,0,4,1,2,21,1,6,4,5,1,5,1,1,1,1,5,4,5,1,5,5,1,,,,,,,,4,4,4,1,4,1,5,1,0,0,2,0,1,2,1,3,4,3,3,5,3,3,3,3,3,33,2,2
19,42,1,-5.32889355,2,2,0,1,0,7,3,2,5,2,2,7,5,6,2,,,,,,,,5,1,5,1,5,5,5,,,,,,,,3,3,3,3,3,1,2,2,0,0,2,0,1,2,1,1,1,1,1,5,1,5,1,5,1,22,2,2
20,52,0,-4.687433203,4,6,0,2,0,9,3,3,4,1,3,21,1,5,3,5,1,5,1,1,1,1,5,1,5,1,5,1,1,4,1,4,1,4,1,1,4,1,4,1,4,1,5,5,1,0,1,0,1,2,1,2,1,1,1,3,2.555555556,3,1,3,4,21.55555556,2,2
21,28,0,0.08714925,5,2,5,6,0,2,5,0,1,2,4,4,1,6,4,2,2,4,1,1,4,4,5,1,1,1,5,1,2,2,1,4,1,4,4,4,5,4,5,1,5,1,2,12,0,1,3,1,1,3,2,5,5,1,5,5,5,5,3,1,5,40,2,2
22,56,1,-2.273214717,1,2,3,1,0,2,5,0,1,1,3,16,1,6,2,,,,,,,,5,1,1,1,5,1,1,3,3,3,1,4,1,1,1,1,1,1,1,1,5,1,0,0,2,0,1,1,5,2,1,3,1,5,1,5,3,5,5,31,2,2
23,51,0,-0.130842212,2,3,5,2,0,5,2,8,1,1,2,13,1,7,4,,,,,,,,,,,,,,,2,4,4,2,3,1,4,3,3,4,2,2,1,3,3,0,0,1,0,1,3,1,3,2,1,3,2,2,3,1,2,3,22,2,2
24,42,0,0.510618135,1,4,3,1,0,6,5,0,1,1,2,17,5,6,4,3,4,5,2,5,3,1,4,4,4,2,4,3,1,3,3,3,1,4,1,1,5,4,1,1,5,1,5,1,1,0,2,1,3,7,3,3,3,4,2,4,4,3,2,5,5,35,3,2
25,36,0,1.370069945,2,2,5,1,0,3,5,0,1,1,4,15,5,6,4,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,1,1,1,4,1,5,3,0,0,2,0,1,7,2,1,2,1,1,1,1,1,2,1,3,14,2,2
26,32,0,3.566296968,2,2,0,6,0,3,5,0,1,1,5,16,5,7,4,,,,,,,,,,,,,,,4,4,4,1,4,1,1,5,4,4,1,2,1,2,3,0,0,2,1,4,4,2,5,4,2,5,4,5,4,4,5,5,43,2,2
27,28,0,-5.32889355,2,2,5,2,0,10,2,3,1,1,2,11,1,6,5,,,,,,,,,,,,,,,4,1,4,1,1,1,1,2,1,4,1,4,1,5,3,0,0,3,0,1,7,2,1,3,3,1,3,1,5,3,5,1,26,2,2
28,38,1,-2.273214717,7,5,5,6,1,10,5,0,4,2,3,17,5,8,4,,,,,,,,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,,5,1,1,2,1,4,2,1,4,5,1,2,4,5,1,4,3,4,33,2,3
29,39,1,-5.32889355,1,1,5,1,0,1,5,0,1,1,2,15,5,7,2,,,,,,,,2,3,3,1,1,1,1,,,,,,,,1,2,1,1,1,1,5,1,0,0,2,0,1,1,1,3,3,5,1,5,1,5,3,5,5,36,2,2
30,25,0,4.425748778,4,2,5,6,0,10,5,0,1,1,3,14,5,8,3,,,,,,,,5,4,5,1,5,4,4,4,2,4,1,4,3,1,5,2,4,1,5,2,4,2,0,0,2,1,1,4,1,3,1,1,3,3,3,4,1,3,4,26,2,2
31,34,0,1.370069945,2,2,4,1,0,2,5,0,1,1,2,9,1,5,4,,,,,,,,,,,,,,,2,2,3,1,2,1,3,5,1,3,1,3,1,2,2,0,0,2,1,1,3,2,2,4,1,1,3,4,4,1,5,5,30,2,2
32,64,1,-4.46944174,1,1,0,3,0,6,4,0,1,1,1,6,6,6,2,,,,,,,,4,1,4,1,4,1,3,,,,,,,,2,3,3,1,2,1,3,6,1,0,2,0,1,7,6,1,3,1,4,1,3,1,5,1,5,25,3,3
33,63,0,-0.554311097,2,1,0,1,0,1,4,0,1,2,3,13,1,5,4,5,3,5,1,5,2,1,5,2,5,1,5,1,4,2,2,2,1,3,1,1,4,5,4,1,5,1,5,2,1,1,2,0,4,1,6,1,1,5,1,3,1,5,1,2,1,21,1,1
34,26,0,2.92483662,6,7,5,5,1,10,5,0,1,2,6,18,1,5,3,5,1,5,2,1,1,1,5,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,10,2,0,3,1,3,4,1,4,4,2,4,4,4,3,3,3,2,33,1,1
35,33,1,-0.348833675,5,7,0,3,0,12,2,2,1,2,2,14,1,6,3,,,,,,,,5,2,5,3,5,5,5,2,3,4,2,4,2,5,5,3,4,2,5,2,1,5,0,0,3,1,1,3,2,4,3,3,4,5,4,3,3,5,5,39,3,3
36,24,1,0.728609598,6,6,2,4,0,7,5,0,1,1,3,16,5,8,3,,,,,,,,5,5,5,4,5,1,1,5,5,5,2,5,1,1,4,5,4,3,5,1,5,4,2,0,1,0,3,3,1,1,1,1,1,5,4,1,4,5,1,24,2,3
37,44,1,1.370069945,1,2,0,1,0,4,4,0,1,1,1,8,5,6,4,,,,,,,,5,4,4,1,2,1,5,2,3,4,1,4,1,4,3,2,3,1,1,1,3,2,1,0,1,1,3,5,6,1,1,1,3,3,4,2,3,3,3,24,2,2
38,28,1,0.510618135,3,5,5,1,0,15,3,1,1,2,2,15,1,7,2,,,,,,,,5,5,5,1,4,1,5,4,4,4,,4,1,4,5,5,5,1,5,1,1,8,2,1,3,1,3,4,3,3,1,2,2,2,4,2,2,5,4,27,2,2
39,43,0,1.370069945,3,5,4,2,0,10,4,0,1,2,3,16,1,5,4,5,2,5,5,4,1,1,4,3,4,4,5,4,4,4,2,5,4,5,1,5,5,1,4,2,5,1,2,6,1,0,1,0,1,6,2,4,4,4,4,5,4,3,4,4,3,39,2,2
40,27.36842105,0,1.370069945,1,1,1,6,0,2,5,0,1,1,2,19,5,8,4,,,,,,,,3,4,3,1,3,1,4,4,3,5,1,1,1,3,4,4,3,1,,1,3,3,2,1,1,1,1,3,1,4,4,1,4,5,5,3,4,5,3,38,2,2
41,44,0,-2.273214717,1,1,2,1,1,6,5,0,1,1,2,21,5,7,4,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,4,1,1,1,5,6,0,0,2,0,1,5,1,3,1,3,1,5,1,5,3,5,5,32,2,2
42,66,0,-3.827981392,1,,5,1,0,0,5,0,4,1,3,18,5,7,3,,,,,,,,3,3,3,3,3,3,1,,,,,,,,1,3,1,1,1,1,5,1,,0,1,0,1,3,2,1,3,3,1,3,3,3,3,5,3,28,2,1
43,41,0,-3.186521045,2,2,0,1,0,3,5,0,1,1,1,7,5,8,3,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,1,1,5,3,0,1,2,0,2,5,5,3,2,5,1,5,1,5,3,5,3,33,2,2
44,49,1,2.06538481,4,2,5,6,0,5,4,0,1,2,2,7,5,7,3,,,,,,,,5,1,5,1,1,1,5,2,3,4,3,1,1,1,5,1,5,1,1,1,1,5,0,0,3,1,1,3,1,3,3,3,4,3,3,3,3,4,3,32,2,2
45,33,0,-0.990294023,3,4,5,6,0,8,4,0,1,2,2,10,5,7,4,,,,,,,,4,3,4,2,5,1,3,,,,,,,,4,4,3,2,4,1,2,3,0,0,2,1,2,6,2,3,2,4,2,3,4,4,3,3,4,32,2,2
46,51,1,-2.914675064,1,1,3,6,0,2,5,0,1,2,2,6,7,6,2,,,,,,,,3,5,4,2,4,5,5,5,3,3,2,3,1,1,5,5,4,1,4,1,1,1,0,0,2,0,1,2,1,3,3,3,3,3,3,3,3,3,3,30,2,2
47,23,0,1.370069945,6,6,5,3,0,5,2,1,1,2,1,21,5,6,5,,,,,,,,4,4,5,1,5,2,1,3,5,5,1,5,1,1,5,5,5,3,5,1,5,6,2,0,2,0,1,5,3,1,1,2,1,5,1,5,3,5,3,27,2,1
48,50,0,-4.687433203,3,3,4,6,0,4,5,0,1,1,2,11,5,7,3,,,,,,,,,,,,,,,,,,,,,,5,4,5,2,1,3,1,3,0,0,2,1,2,2,1,3,4,3,4,4,4,4,3,2,4,35,2,2
49,41,1,-5.32889355,2,2,0,1,0,4,2,2,1,2,2,16,1,5,3,,,,,,,,5,1,4,1,5,1,4,1,1,1,1,1,1,1,5,1,3,1,5,1,1,4,0,0,2,0,4,1,2,5,5,1,5,1,5,1,5,1,5,34,3,3
50,25,0,-0.348833675,1,1,5,2,0,1,5,0,4,1,2,11,1,7,4,,,,,,,,4,5,5,3,3,5,5,3,2,3,3,3,3,3,,5,4,3,4,1,4,1,0,0,1,0,1,1,1,5,5,1,5,1,5,1,5,1,5,34,2,2
51,39,0,-0.990294023,3,3,4,1,0,8,2,3,1,1,2,15,1,5,4,,,,,,,,5,,1,1,1,1,1,4,4,4,1,5,1,1,3,4,3,2,4,1,5,7,1,0,2,1,,2,2,4,3,2,1,3,2,3,3,4,2,27,2,2
53,40,1,2.06538481,4,5,4,6,0,8,4,0,1,1,3,19,1,6,3,,,,,,,,3,5,5,4,5,4,5,3,4,3,2,4,1,4,5,3,3,2,3,3,2,4,1,0,2,1,2,2,1,3,2,1,3,2,2,3,3,4,2,25,2,2
54,48,0,-4.46944174,3,4,5,6,0,10,4,0,1,1,2,17,1,6,4,,,,,,,,5,1,5,1,5,1,1,3,1,4,1,4,1,1,3,1,4,1,4,1,5,3,1,0,2,1,1,1,3,1,1,1,1,5,1,5,1,5,1,22,2,2
56,30,0,-2.750538119,1,1,4,2,0,1,4,0,1,1,3,15,1,5,4,5,1,5,1,3,1,1,5,1,5,1,5,5,5,4,5,5,5,5,4,3,5,1,5,1,5,3,5,1,0,0,1,0,1,1,3,1,1,5,2,5,2,5,1,2,5,29,2,2
57,50,0,-2.273214717,2,5,0,2,0,12,2,1,1,2,1,13,1,7,3,,,,,,,,4,,5,3,4,1,1,2,4,4,3,4,1,1,4,4,4,2,4,3,3,3,0,1,2,1,3,2,4,3,3,3,3,3,4,3,3,3,3,31,2,2
58,55,0,-2.914675064,1,2,5,6,1,2,5,0,1,2,2,16,1,6,4,5,1,1,1,1,1,1,5,4,4,3,5,3,1,1,1,1,1,1,1,1,3,3,5,3,4,1,5,1,1,0,2,0,1,2,1,3,1,3,1,3,1,3,3,1,3,22,2,2
59,43,0,,1,2,0,6,0,5,1,2,2,2,1,5,2,7,5,,,,,,,,5,4,5,2,5,5,5,2,2,5,2,2,4,4,4,5,5,4,5,5,1,2,2,0,3,1,1,3,1,5,1,4,5,4,5,4,5,3,3,39,2,1
60,25,0,1.370069945,4,4,5,5,0,20,5,0,1,2,2,20,1,6,5,5,5,5,3,1,2,1,5,5,5,1,1,2,1,4,5,4,2,1,2,1,4,5,5,3,1,1,5,7,0,0,2,0,1,3,1,1,1,1,1,5,1,5,1,1,5,22,2,2
61,41,0,-0.348833675,1,1,5,1,0,1,4,0,2,1,3,11,1,6,4,4,1,4,1,1,1,1,,,,,,,,3,1,3,1,1,1,1,3,1,3,2,1,1,5,1,1,0,2,0,1,3,1,1,1,3,1,3,1,3,1,3,5,22,2,2
62,34,0,3.78428843,3,6,5,2,0,10,2,1,3,1,1,14,2,6,4,3,1,4,2,3,1,1,3,3,4,2,5,1,5,3,4,4,1,5,1,5,2,3,3,1,3,3,2,4,1,0,2,1,3,2,1,5,3,2,4,3,5,3,4,1,4,34,3,1
63,36,0,1.370069945,1,1,5,6,0,1,5,0,1,1,2,14,5,7,3,,,,,,,,5,4,5,1,5,4,4,4,1,4,1,1,1,1,5,4,4,1,4,1,5,1,2,0,1,1,1,6,1,2,2,1,3,3,4,3,2,2,4,26,2,2
64,62,0,1.152078482,2,1,2,5,1,2,5,0,1,2,4,20,7,6,3,,,,,,,,5,1,1,1,4,1,1,3,3,5,2,1,1,1,3,4,4,3,1,1,5,2,0,1,1,1,4,5,2,1,1,1,1,5,1,5,1,2,1,19,2,2
65,29,0,2.92483662,3,4,5,6,0,10,5,0,1,2,2,8,5,7,4,,,,,,,,4,5,4,3,5,1,4,2,1,4,4,1,1,1,5,5,5,4,5,1,1,5,1,1,2,0,1,3,1,3,3,1,4,5,4,3,4,1,3,31,2,2
66,40,0,-0.348833675,1,1,0,6,1,3,5,0,3,2,2,13,1,6,3,5,1,5,1,1,1,1,,,,,,,,3,2,3,1,3,1,1,5,4,4,1,5,1,5,3,0,0,1,1,2,2,2,5,5,2,3,3,3,3,3,4,4,35,3,1
67,32,0,3.566296968,2,2,5,3,0,4,3,1,4,1,5,14,1,5,3,4,1,3,1,1,1,1,5,1,5,1,4,4,1,3,1,3,1,1,1,1,5,1,3,1,1,1,5,3,0,0,2,0,1,1,1,5,5,1,5,3,5,1,5,4,5,39,2,2
68,37,1,1.847393347,2,2,0,3,0,2,4,0,2,2,4,16,1,6,2,,,,,,,,5,1,5,1,5,1,5,5,1,5,1,5,1,1,5,1,5,1,5,1,5,2,0,0,1,0,1,1,3,3,1,5,5,5,1,5,1,5,1,32,2,2
69,22,1,2.92483662,5,5,1,6,0,20,5,0,1,2,2,12,5,7,2,,,,,,,,4,5,5,5,5,1,5,3,4,4,3,4,1,3,4,4,4,4,4,1,1,20,1,0,2,0,1,7,1,3,1,4,5,5,4,4,3,4,5,38,2,2
70,58,0,-0.348833675,4,5,3,2,0,15,4,0,1,2,2,21,1,6,5,,,,,,,,,,,,,,,3,5,5,3,5,1,5,,,,,,,,4,1,1,2,0,3,5,2,3,3,2,3,4,4,3,3,3,4,32,2,2
71,37,0,-0.348833675,4,7,0,1,0,8,4,0,1,1,2,12,1,5,3,4,1,4,1,5,1,1,3,1,4,1,4,1,1,,,,,,,,5,1,5,1,5,1,4,3,2,0,2,0,1,3,1,3,3,3,3,3,3,3,3,3,3,30,1,1
72,46,0,-0.130842212,3,5,0,3,0,25,4,0,1,2,1,8,1,6,3,,,,,,,,5,4,5,1,5,1,1,2,1,3,3,4,1,1,5,1,5,1,5,1,5,10,3,0,3,1,2,6,4,4,4,4,3,3,4,4,4,4,4,38,2,2
73,28,0,1.370069945,2,4,5,3,0,15,4,0,1,2,2,16,1,5,3,5,1,5,1,5,1,1,5,4,5,3,5,4,5,5,3,5,2,5,4,1,4,3,3,3,3,1,5,2,0,0,1,0,1,4,6,2,1,1,3,5,3,4,2,4,5,30,2,3
74,43,0,2.706845157,2,3,4,6,0,3,2,2,1,1,1,12,2,6,4,5,1,1,2,1,1,3,5,4,5,1,5,1,1,2,2,2,1,2,1,1,5,5,5,1,5,4,5,2,2,2,3,0,1,4,2,1,1,1,2,5,2,5,2,4,5,28,2,2
75,31,1,2.011530292,2,2,4,1,0,2,5,0,1,1,3,15,5,7,3,,,,,,,,4,2,5,3,5,5,5,2,1,2,1,2,1,1,5,1,5,1,5,5,1,2,2,0,1,1,2,6,1,3,1,1,3,5,3,4,3,5,5,33,2,2
76,53,0,-3.827981392,2,4,2,3,1,4,4,0,2,2,8,16,1,5,3,5,1,1,1,1,1,1,5,3,5,1,5,5,1,5,4,5,1,5,4,5,4,3,4,1,4,3,2,2,2,0,3,0,1,3,1,4,4,4,1,5,3,5,3,2,4,35,1,2
77,46,0,0.292626672,3,3,0,1,0,6,3,1,1,2,1,10,1,8,3,,,,,,,,3,4,4,1,3,1,1,2,3,2,1,1,1,1,4,4,4,1,1,1,4,6,2,0,2,0,2,4,4,4,4,3,3,3,3,3,4,3,4,34,2,2
78,35,0,1.152078482,4,3,0,1,0,5,1,2,1,2,1,6,5,7,3,,,,,,,,5,4,4,,,5,5,4,1,4,4,1,4,1,5,4,4,2,1,1,2,5,2,1,3,1,1,7,5,4,3,3,5,4,5,4,3,4,5,40,1,1
79,49,0,-1.903600351,3,2,5,1,0,2,4,0,4,1,3,20,1,5,4,5,1,5,1,1,1,1,5,5,4,1,5,5,5,3,3,2,1,3,3,3,2,4,3,4,4,1,3,2,0,0,1,0,1,4,2,3,2,3,1,1,3,2,3,3,3,24,2,2
80,46,1,-0.718448042,1,2,3,1,0,2,4,0,4,1,3,13,5,8,3,,,,,,,,5,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,5,1,1,0,2,0,1,1,1,,,,,,,,,,,0,2,2
81,25,0,2.92483662,3,5,4,2,0,10,4,0,1,2,3,18,1,5,5,3,4,5,3,1,1,1,5,1,5,1,1,1,1,2,4,4,2,4,1,3,5,5,5,2,5,1,2,5,0,0,2,1,2,1,1,3,1,1,4,3,4,3,2,3,4,28,2,2
82,38,1,2.283376273,1,1,5,1,0,1,4,0,1,1,2,16,5,6,2,5,1,5,1,1,1,1,,,,,,,,4,3,4,1,4,1,3,3,3,3,1,3,1,2,1,2,0,1,0,2,3,1,5,5,2,5,5,5,5,5,5,5,47,2,2
83,41.05263158,0,0.510618135,3,3,5,4,0,5,4,0,1,1,4,19,1,5,5,3,5,4,3,5,1,1,5,1,1,1,5,1,1,4,1,3,1,4,1,1,5,5,4,1,5,1,2,5,1,1,2,1,1,3,1,4,4,2,3,3,4,3,4,2,3,32,2,2
84,45,0,-0.130842212,3,2,0,1,0,2,3,2,1,1,2,17,1,6,3,4,3,4,3,3,2,2,4,2,4,3,5,,4,4,2,4,3,4,3,3,5,3,4,2,4,3,2,4,2,0,1,0,1,4,3,4,2,1,4,4,5,3,5,4,4,36,2,3
85,26,0,4.425748778,4,7,4,1,0,20,5,0,1,2,2,18,1,6,4,5,3,5,1,5,1,1,5,5,5,1,5,1,1,5,5,5,1,5,1,1,5,1,3,1,3,1,,5,0,0,2,0,1,1,1,4,4,5,1,5,1,5,4,5,5,39,2,3
86,23,0,1.370069945,4,4,0,6,1,10,4,0,1,2,2,16,5,6,5,,,,,,,,5,5,5,1,5,5,5,5,4,4,1,5,5,5,5,5,4,3,5,5,1,4,2,0,2,1,2,5,3,5,4,2,4,5,5,4,5,5,5,44,1,2
87,51,1,-0.348833675,1,1,0,1,0,4,5,0,1,2,2,6,6,6,2,,,,,,,,5,5,5,1,5,1,1,1,1,1,1,1,,,4,5,5,1,5,1,1,4,1,1,1,0,1,3,5,3,4,1,2,3,4,3,4,3,4,31,2,2
88,56,1,-3.827981392,,3,4,1,0,4,3,1,1,1,4,10,4,5,4,5,3,3,1,1,1,4,5,1,1,1,1,1,1,2,3,1,1,1,1,4,2,2,2,2,2,1,5,0,1,0,2,0,1,7,2,3,3,3,4,3,3,3,3,3,2,30,2,2
89,34,0,1.370069945,4,4,5,3,0,4,3,2,1,1,3,17,1,5,3,5,3,4,1,5,1,4,5,1,1,1,1,1,1,5,4,4,1,5,1,4,5,5,3,2,4,1,2,4,0,0,1,1,3,3,1,5,4,3,4,3,4,2,4,4,5,38,2,1
90,36,1,3.566296968,3,3,5,2,0,9,5,0,1,1,2,16,1,6,3,,,,,,,,4,4,5,3,5,1,1,4,3,4,2,1,1,1,5,5,5,3,5,1,3,9,2,1,2,0,1,6,2,3,3,2,2,3,3,4,2,4,3,29,2,2
91,29,0,-0.990294023,3,6,5,2,1,12,1,3,1,1,3,11,1,5,4,3,5,3,1,1,1,4,5,2,5,1,5,1,4,4,2,5,1,5,1,5,5,1,4,1,1,1,2,4,0,0,2,0,1,5,2,4,4,3,4,4,4,2,3,5,4,37,3,2
92,38,0,-3.827981392,5,7,0,5,0,,2,1,1,1,3,18,1,6,2,,,,,,,,4,2,5,1,1,1,1,3,2,4,1,1,1,1,4,1,4,1,1,1,5,22,2,0,2,1,1,1,3,1,1,1,3,4,1,3,3,5,5,27,2,2
93,40,0,1.370069945,1,1,0,6,0,3,2,1,1,2,1,9,5,7,3,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,4,1,3,3,1,1,1,0,1,2,3,3,2,1,1,3,4,3,3,3,4,27,2,2
94,54,0,0.292626672,2,3,0,2,0,4,5,0,1,1,1,6,2,8,4,,,,,,,,,,,,,,,3,4,4,3,1,1,1,4,4,4,3,1,1,5,3,0,0,2,1,2,3,5,2,1,5,1,2,2,2,1,2,2,20,2,2
95,30,0,2.011530292,2,3,5,6,0,6,5,0,1,1,2,16,1,7,3,,,,,,,,3,5,5,1,5,5,5,3,4,4,1,4,4,4,5,5,5,1,5,5,1,2,1,0,2,1,1,2,1,4,1,2,3,3,4,3,4,3,2,29,2,2
96,32,0,1.370069945,4,4,5,1,0,6,5,0,1,2,3,16,5,7,4,,,,,,,,,,,,,,,3,2,3,1,4,1,5,5,3,4,1,5,1,1,6,0,0,2,0,1,7,2,4,1,1,4,4,5,4,3,2,5,33,2,2
97,20,0,-1.262140003,3,4,0,6,0,5,4,0,1,2,9,18,1,5,5,5,1,5,3,5,1,1,,,,,,,,5,4,5,5,5,1,1,4,4,5,4,5,1,5,3,0,0,1,1,1,2,1,3,2,1,1,5,1,5,1,5,5,29,3,3
98,28,0,2.92483662,5,7,5,3,1,10,4,0,1,2,2,12,4,6,4,5,1,5,1,5,1,1,5,1,5,1,5,1,1,5,1,5,1,5,1,1,4,1,4,1,4,1,5,5,1,0,2,0,1,3,5,1,1,5,1,5,1,5,1,5,5,30,2,2
